"* Required Fields","* Campos obligatorios"
"My Wishlist","Mis favoritos"
"n/a","n/d"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New account","Nueva cuenta"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New Address","New Address"
"New Address Entry","New Address Entry"
"New Customer","New Customer"
"New Customer Address","New Customer Address"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Customers","New Customers"
"New Group","New Group"
"New Password","Nueva contraseña"
"New password","Nueva contraseña"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Newsletters"
"No item specified.","No item specified."
"No Items Found","No Items Found"
"No Newsletter Found","No Newsletter Found"
"No product collections found","No product collections found"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Not Sent","Not Sent"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"or","o"
"Order #","Orden #"
"Order #%s (%s)","Orden #%s (%s)"
"Order List...","Ordenar lista..."
"Order Total","Order Total"
"Orders","Orders"
"Password","Contraseña"
"Password can't be empty","El campo contraseña no puede quedar vacío"
"Password fields can't be empty.","El campo contraseña no puede quedar vacío"
"Password forgotten","Olvide mi contraseña"
"Password Management","Password Management"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Password Options","Opciones de contraseña"
"Paused","Paused"
"Payment Method","Medio de pago"
"PDF","PDF"
"Pending","Pendiente"
"Per Website","Per Website"
"Personal Information","Información personal"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Por favor ingresá tu email."
"Please make sure your passwords match.","Por favor controla que las contraseñas coincidan."
"Please select","Por favor elija"
"Please select region, state or province","Por favor selecciona región, estado o provincia"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Please enter your email address below. You will receive a link to reset your password.","Por favor ingresa tu dirección de correo electrónico"
"Prefix","Prefijo"
"Prefix dropdown options","Prefix dropdown options"
"Price","Precio"
"Primary Billing Address","Primary Billing Address"
"Primary Shipping Address","Primary Shipping Address"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Producto"
"Product ID","Product ID"
"Product Name","Product Name"
"Product name","Product name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Purchase On","Purchase On"
"Purchased at","Purchased at"
"Qty","Cantidad"
"Recent Orders","Recent Orders"
"Records for ""","Records for """
"Refunded","Devuelto"
"Registered Customers","Registered Customers"
"Remove","Remover"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Conseguí tu link de confirmación aquí"
"Retrieve your password here","Recupera tu contraseña"
"Sales Statistics","Estadisticas deventas"
"Save Address","Guardar dirección"
"Save And Continue Edit","Guardar y continuar editando"
"Save Customer","Guardar cliente"
"Save Customer Group","Save Customer Group"
"Save Password","Guardar contraseña"
"Saved ","Guardado "
"A new password was sent","Se ha enviado una nueva contraseña"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Send welcome email","Send welcome email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Show Tax/VAT number","Show Tax/VAT number"
"Sign Up for Newsletter","Subscribite a nuestro Newsletter"
"Sign up for our newsletter","Subscribite a nuestro newsletter"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"SKU","SKU"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Street Address ","Dirección "
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Subscribir"
"Subscribe to newsletter","Subscribite a nuestro newsletter"
"Subscribed to Newsletter?","Estas subscripto a nuestro newsletter?"
"Suffix","Subfijo"
"Suffix dropdown options","Suffix dropdown options"
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax class","Tax class"
"Tax/VAT number","Tax/VAT number"
"TAX/VAT number is required.","TAX/VAT number is required."
"Telephone","Teléfono"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s","¡Gracias por registrarte!"
"The address does not belong to this customer","The address does not belong to this customer"
"The address was successfully deleted","The address was successfully deleted"
"The address was successfully saved","The address was successfully saved"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"There was an error while deleting the address","There was an error while deleting the address"
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","This customer has no saved addresses."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","This email address was not found in our records"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This is My Primary %s Address","This is My Primary %s Address"
"To Cart","To Cart"
"All","Todos"
"All countries","Todos los países"
"Total","Total"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from newsletter","Unsubscribe from newsletter"
"Update","Update"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Use as My Primary %s Address","Use as My Primary %s Address"
"User description","User description"
"View","Ver"
"View Order","Ver Orden"
"View Order List","View Order List"
"Visible In","Visible en"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Bienvenido Email"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Wrong region id by selected country"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"Year","Year"
"You are currently not subscribed to any newsletter.","No estas subscripto a ningún newsletter."
"You are currently not subscribed to our newsletter","No estas subscripto a ningún newsletter"
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently subscribed to our newsletter","Estas subscripto a nuestro newsletter"
"You are currently subscribed to our newsletter.","Estas subscripto a nuestro newsletter."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Te deslogueaste! Te llevaremos a la home en 5 segundos."
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","No tenes dirección de facturación en tu lista direcciones"
"You have no default shipping address in your address book.","No ttenes dirección de envio en tu lista de direcciones"
"You have no primary entries in your address book.","You have no primary entries in your address book."
"You have not set a primary billing address.","No especificaste una dirección de facturación"
"You have not set a primary shipping address.","You have not set a primary shipping address."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no orders.","No realizaste compras todavía."
"You have placed no products yet.","You have placed no products yet."
"You're now Logged Out","You're now Logged Out"
"Your account balance is: %s","Your account balance is: %s"
"YYYY","YYYY"
"ZIP","CP"
"ZIP/Post Code","Código postal"
"ZIP/Postal Code","CP/Código postal"
"Zip/Postal Code","CP/Código postal"
